Номер внутри района	Название	Другие названия	Высота	Кат. трудн.	Характер	Что соединяет	Координаты WGS84	Руководитель, год прохождения	Примечание
2.1	Алтынсарина		3680	1Б	ск-ос	лед. Алтынсарина - главный исток р. Коржун			
2.2	Арал-Тобе		3350	1Б	лд-ос	лед. №266 (р. Мукан) - лед. №263 (р. Арал-Тобе)			
2.3	Бацких		3750	2Б	ск-лд	р. Ледниковая (П. С. прит. р. Жаманкольсай) - р. Айсель-байсай (р. Кора)			
2.4	Валентины		3550	2А	ск-лд	З. цирк лед. Безсонова - лед. №269 (лед. Тронова)			
2.5	Ветеран		3450	2Б		лед. Каскабулак (р. Каскабулак, р. Кора) - З. приток р. Тентексай (р. Коксу)			
2.6	Владимира Микитюка		3700	3А*		лед. Тронова (р. Мукан, р. Кора) - центральный исток р. Тентексай (р. Коксу)			
2.7	Жаманкольсай		3290	1Б	ос-лд	лед. №243 (р. Тюйте) - лед. №218 (р. Жаманкольсай, р. Чажа)			
2.8	Казтурсовета		3280	2А	лд-ос	лед. №244 (р. Тюйте) - исток СВ. притока р. Койтас			
2.9	Каменный		3360	2А	лд-ск	лед. №254 (р. Каскабулак, р. Кора) - р. Верхн. Ойсаз (р. Коксу)			
2.10	Карансгай		3550	2А	лд	первый Л. исток р. Карангсай - лед. №116 (П. исток р. Лагерной)			
2.11	Каскабулак		3550	2Б	лд-ос	лед. Тронова (№267) - П. исток р. Каскабулак			
2.12	Койтас		3350	2А		лед. Высоцкого (р. Каскабулак, р. Кора) - лед. б/н (р. Койтас, р. Чажа)			
2.13	Кокчетав		3400	1Б	лд-ск	лед. №254 (р. Каскабулак) - С. приток р. Тентексай			
2.14	Коржунский		3650	1Б*	ос-сн	лед. Сапожникова - лед. №167 (р. Коржун)			
2.15	МАИ		3680	2А	сн-лд	лед. Алтынсарина - лед. Сапожникова			Через п.МАИ
2.16	Медвежий		3610	1А	сн-ос	лед. Тентексай (№193) - лед. №191 (р. Аргалы-булак)			
2.17	Натальи		3600	1Б*	ос-лд	лед. Безсонова (№275) - С. приток р. Тентексай (лед. №196)			
2.18	Николая Кузнецова		3350	1Б	ос-ос	р. Тюйте - лед. №239 (р. Салдыртас)			
2.19	Озерный		3380	1Б	сн-ос	лед. Каскабулак - р. Тентексай			
2.20	Ольги		3640	2А	ск-лд	лед. Безсонова (№275) - лед. Тронова (№267)			
2.21	РКТ	Рязанский клуб Туристов	3480	2Б	лд-ск	лед. №269 (лед. Тронова) - лед. №274 (р. Кора)			
2.22	Седло		3230	1Б		лед. Высоцкого (р. Каскабулак, р. Кора) - З. камера лед. Каскабулак (р. Каскабулак)			
2.23	Семи		3590	1Б*		лед. Тронова (р. Кора) - долина р. Тентексай			
2.24	Спортклуба МАИ		3520	2Б	лд	З. цирк лед. Безсонова - лед. №274 (р. Кора)			
2.25	Строитель		3720	2Б	ск-ос	лед. №193 (р. Тентексай) - лед. Аюсай (№180)			
2.26	Суюк-Тобе		3100	1А		р. Верх. Ойсаз - р. Тентексай			
2.27	Тайга		3700	2А	лд-сн	лед. Безсонова (№275) - р. Тентексай			
2.28	Талды-Курган		3770	2А*	сн-лд	лед. Каскабулак - лед. Тронова			
2.29	Тани Савичевой		3390	2А	ос-лд	лед. №269 (лед. Тронова) - лед. №273 (р. Кора)			
2.30	Татьяна		3400	1Б	сн-ос	лед. Каскабулак - лед. Тронова			
2.31	Текелийский		3320	1Б	лд-ос	лед. Безсонова - лед. №180 (П. исток р. Аюсай, р. Кора)			
2.32	Тентексай В.		3740	2А*		лед. Тентексай В. (р. Тентексай В.) - лед. Аюсай (р. Аюсай)			
2.33	Тронова		3500	1Б*	лд-ос	лед. Тронова (№267) - С. приток р. Тентексай			
2.34	Тюйте		3240	1А*	лд-ос	лед. №243 (р. Тюйте) - исток СВ притока р. Койтас			
2.35	Целиноград		3750	2Б	ск-лд	лед. Тронова (р. Мукан) - З. цирк лед. Безсонова (р. Кора)			
2.36	Чабанский		3100	н/к		р. Караарык - р. Казан. Восточнее пер. Тюе-Майнак			
2.37	Чижа I		3580	2А	лд-сн	лед. Чижинский (№219) - лед. №227 (р. Асельбайсай)			
2.38	Чижа II		3710	2А	лд-ск	лед. Чижинский (№219) - лед. №235 (р. Салдыртас)			
2.39	Эдельвейс		3570	1А	ос-сн	р. Тентексай - р. Каскабулак			
